id,schemeName,schemeShortTitle,slug,level,schemeFor,nodalMinistryName,beneficiaryState,schemeCategory,briefDescription,schemeCloseDate,priority,tags
rMa9F5gB0AGc0F0ibDWU,Farmers Training,FT,ft,State,Individual,,Tamil Nadu,"Agriculture,Rural & Environment","The “Farmers Training” scheme provides financial assistance for training sessions involving up to 50 farmers or agricultural laborers per cluster.
",,1,"Agriculture, Farmer, Training"
gBe9F5gB5uF80_MGZpFU,Training to Farmers,TTF,ttf,State,Individual,,Tamil Nadu,"Agriculture,Rural & Environment","The scheme “Training to Farmers” provides training to maize farmers across various districts, aiming to enhance farming practices and increase productivity.
",,1,"Agriculture, Farmer, Maize, Training"
gxe9F5gB5uF80_MGZpGl,Training of Farmers on Pulses Production Technologies,TFPPT,tfppt,State,Individual,,Tamil Nadu,"Agriculture,Rural & Environment","The “Training of Farmers on Pulses Production Technologies” scheme aims to educate farmers on advanced pulses production technologies to enhance crop yield.
",,1,"Agriculture, Farmer, Pulses Production, Training"
hxe9F5gB5uF80_MGZ5EY,Visit of Contract Farming Farmers to the Research Stations in Karnataka,VCFRSK,vcfrsk,State,Individual,,Tamil Nadu,"Agriculture,Rural & Environment","The scheme “Visit of Contract Farming Farmers to the Research Stations in Karnataka” facilitates visits for contract farming farmers to research stations across Karnataka to gain agricultural knowledge. Financial support is provided for a 3-day visit.
",,1,"Agriculture, Farmer, Contract Farming, Research Stations Visit"
LaLWSp8BXu-iUKXqilqp,Integrated Scheme for Export Promotion & Quality Improvement in Spices and Research and Development of Cardamom: Post-Harvest Improvement: Seed spice thresher (nos),ISFEPQIISARADOCPHISST,isfepqiisaradocphisst,Central,Individual,Ministry Of Commerce And Industry,All,"Agriculture,Rural & Environment, Business & Entrepreneurship, Banking,Financial Services and Insurance",To motivate the farmers to adopt hygienic threshing practices for production of quality seed spices using mechanical seed spices threshers (power operated),,1,"Agriculture, Seed, Spice, Farming, Farmers"
i8eViJ8B0AGc0F0ibRa-,Integrated Scheme for Export Promotion & Quality Improvement in Spices and Research and Development of Cardamom: New Subcomponents: Basic quality testing of spices,ISFEPQIISARADOCNSBQTOS,isfepqiisaradocnsbqtos,Central,Individual,Ministry Of Commerce And Industry,All,"Agriculture,Rural & Environment, Banking,Financial Services and Insurance, Business & Entrepreneurship","To promote field-level basic quality testing of spices, enabling farmers to assess produce quality, negotiate better prices, and receive fair value for their produce.",,1,"Entrepreneurs, Agriculture, Farmers, Spices Board"
kxiR9pwB5uF80_MGNmL_,National Agriculture Insurance Scheme,NAI,nai,Central,Individual,Ministry Of Agriculture and Farmers Welfare,All,"Agriculture,Rural & Environment","The National Agriculture Insurance Scheme (NAIS) was introduced by the Government of India to provide comprehensive insurance coverage and financial support to farmers against crop losses due to natural calamities, pests, and diseases.",,1,"Farmers, Crop Insurance, Agriculture Subsidy, Natural Disaster Coverage"
Ohga2Z4B5uF80_MGQ2-x,Integrated Scheme for Export Promotion & Quality Improvement in Spices and Research and Development of Cardamom: Organic Farming: Internal Control System (ICS) (nos),ISFEPQIISARADOCOFICS,isfepqiisaradocofics,Central,Individual,Ministry Of Commerce And Industry,All,"Agriculture,Rural & Environment, Business & Entrepreneurship","Under this scheme to support the grower groups / FPOs to establish grower group certification in order to prepare farmers on group formation, organic regulations, certification procedures, training, documentation, internal inspection etc. for organic certification and aggregation of the produce.",,1,"Organic Regulations, Farming, Farmers, Internal Control System"
h8cKpp4B0AGc0F0i0RSu,Student READY (Rural Entrepreneurship Awareness Development Yojana) ,SR,sr,Central,Individual,Ministry Of Agriculture and Farmers Welfare,All,"Education & Learning, Agriculture,Rural & Environment","The Student READY (Rural Entrepreneurship Awareness Development Yojana) program aims to provide rural entrepreneurship awareness, and practical experience in a real-life situation in rural agriculture, and create awareness to undergraduate students about practical agriculture and allied sciences.",,1,"Student, Research And Education, Agriculture, Internship, Farmers"
khe9F5gB5uF80_MGbZHu,Micro Nutrient Spray,MNS,mns,State,Individual,,Tamil Nadu,"Agriculture,Rural & Environment","The “Micro Nutrient Spray” scheme provides a 50% subsidy or ₹70/- per hectare to eligible farmers, with a focus on ensuring benefits to SC/ST and women farmers.
",,1,"Agriculture, Farmer, Micro Nutrient Spray, Subsidy"
